                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.47861,                0.34576,                0.91172,                0.96113,                0.89065,                  0.941,                0.79049,                0.72865,                0.50826,                 1.0503,              0.0002265,              0.0002265,              0.0002265
                     87,                0.47944,                0.33337,                 0.9243,                0.93205,                0.90207,                0.94391,                0.78867,                0.74382,                0.51941,                 1.0666,             0.00021235,             0.00021235,             0.00021235
                     88,                0.46843,                0.33332,                0.91523,                0.91292,                 0.9204,                0.93949,                0.77862,                0.75836,                0.55063,                 1.0858,              0.0001982,              0.0001982,              0.0001982
                     89,                0.45477,                0.32978,                0.90033,                0.94615,                0.87197,                 0.9375,                0.78917,                 0.7252,                0.52277,                 1.0635,             0.00018406,             0.00018406,             0.00018406
                     90,                0.46353,                0.32381,                0.90765,                0.95351,                0.86733,                0.94042,                0.80623,                0.71748,                0.52734,                 1.0589,             0.00016991,             0.00016991,             0.00016991
                     91,                0.38864,                0.25575,                0.84737,                0.93936,                0.88244,                0.93809,                 0.7883,                0.73003,                0.50327,                   1.07,             0.00015576,             0.00015576,             0.00015576
                     92,                0.37835,                0.24991,                0.84868,                0.93578,                0.88087,                0.93914,                0.80105,                0.72579,                0.49309,                 1.0734,             0.00014161,             0.00014161,             0.00014161
                     93,                0.36485,                0.24538,                 0.8424,                0.93228,                0.87978,                  0.942,                0.79381,                0.74738,                 0.5233,                 1.0744,             0.00012747,             0.00012747,             0.00012747
                     94,                0.36071,                0.23929,                0.83768,                0.93973,                0.87177,                0.93631,                  0.797,                0.72704,                0.51105,                 1.0536,             0.00011332,             0.00011332,             0.00011332
                     95,                0.35524,                0.23493,                0.84568,                0.94086,                 0.8675,                 0.9412,                0.80006,                0.73248,                 0.5033,                 1.0572,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.35408,                0.23621,                0.84172,                0.95307,                0.86169,                0.93878,                0.79712,                0.72472,                0.49878,                 1.0529,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.33994,                0.22907,                0.83727,                0.95282,                0.86324,                0.94479,                0.80122,                0.72222,                 0.4758,                 1.0586,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.33952,                 0.2248,                0.83475,                0.95316,                0.86537,                0.94493,                0.80104,                0.71251,                0.46461,                 1.0554,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.33255,                0.22532,                0.82901,                0.95499,                0.85096,                 0.9489,                0.80791,                0.70297,                0.45608,                 1.0435,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.33555,                0.22672,                0.83442,                0.97253,                0.86014,                0.94908,                0.80794,                 0.7011,                0.45113,                 1.0397,             2.8437e-05,             2.8437e-05,             2.8437e-05
